date,rain_mm,temp_c,days_from_start,campo,anno
2022-01-01,29.61369487184129,5.419510686965225,0.0,bianchi_campo,2022
2022-01-08,22.21303936806862,-0.3588906424386096,7.0,bianchi_campo,2022
2022-01-15,5.085290552489852,2.917226409912132,14.0,bianchi_campo,2022
2022-01-22,0.1422982153549412,2.148938842046846,21.0,bianchi_campo,2022
2022-01-29,3.3296614864362084,3.920237931751103,28.0,bianchi_campo,2022
2022-02-05,2.4041758365633825,5.127832212902263,35.0,bianchi_campo,2022
2022-02-12,13.091998389654693,4.955990636916397,42.0,bianchi_campo,2022
2022-02-19,21.17842965456518,6.499516786847835,49.0,bianchi_campo,2022
2022-02-26,21.902927754467783,1.217397399175752,56.0,bianchi_campo,2022
2022-03-05,3.4692204179904707,0.6336898622058698,63.0,bianchi_campo,2022
2022-03-12,0.0159615262873558,4.997050221761072,70.0,bianchi_campo,2022
2022-03-19,0.240228949678567,5.635752160208597,77.0,bianchi_campo,2022
2022-03-26,51.16873610929318,8.594810649326917,84.0,bianchi_campo,2022
2022-04-02,20.91974228240545,6.121769024076912,91.0,bianchi_campo,2022
2022-04-09,11.993795686464637,9.035539245605491,98.0,bianchi_campo,2022
2022-04-16,39.329527409105225,8.079994910103949,105.0,bianchi_campo,2022
2022-04-23,10.220358851881883,10.358652914138077,112.0,bianchi_campo,2022
2022-04-30,32.9776244656621,11.020507158551936,119.0,bianchi_campo,2022
2022-05-07,14.737337827416042,13.688624590919176,126.0,bianchi_campo,2022
2022-05-14,0.8007794615423336,17.16147838774185,133.0,bianchi_campo,2022
2022-05-21,2.4236172429432656,19.628352101643884,140.0,bianchi_campo,2022
2022-05-28,18.594704193652944,18.20471316746307,147.0,bianchi_campo,2022
2022-06-04,30.68447902535354,18.973155684698213,154.0,bianchi_campo,2022
2022-06-11,0.8605083675838898,20.538922246297204,161.0,bianchi_campo,2022
2022-06-18,0.5557944971670281,22.37044614156088,168.0,bianchi_campo,2022
2022-06-25,2.661662176951296,23.60479925246466,175.0,bianchi_campo,2022
2022-07-02,10.250189417998712,22.75218870980399,182.0,bianchi_campo,2022
2022-07-09,1.555780715325028,20.94312747773671,189.0,bianchi_campo,2022
2022-07-16,1.139741091662927,24.43988816397536,196.0,bianchi_campo,2022
2022-07-23,19.259016587078293,24.27434138343449,203.0,bianchi_campo,2022
2022-07-30,10.75883358308971,22.728663562593056,210.0,bianchi_campo,2022
2022-08-06,10.715177789496266,21.176031003679554,217.0,bianchi_campo,2022
2022-08-13,44.37228408605876,21.13976622081941,224.0,bianchi_campo,2022
2022-08-20,3.3575634340827776,19.73598859877813,231.0,bianchi_campo,2022
2022-08-27,54.05883338531936,19.034234800792888,238.0,bianchi_campo,2022
2022-09-03,8.959303635908356,19.301738539196208,245.0,bianchi_campo,2022
2022-09-10,34.89846236852756,18.771670913696312,252.0,bianchi_campo,2022
2022-09-17,18.62088841882681,12.35917689005538,259.0,bianchi_campo,2022
2022-09-24,60.60073332253069,13.525218309674983,266.0,bianchi_campo,2022
2022-10-01,0.9141794278875182,14.837503505888437,273.0,bianchi_campo,2022
2022-10-08,5.800813436259489,13.50324656168624,280.0,bianchi_campo,2022
2022-10-15,0.4418712160081384,14.675738634382014,287.0,bianchi_campo,2022
2022-10-22,1.3203509390287138,16.032935260591103,294.0,bianchi_campo,2022
2022-10-29,4.908889425145446,13.564003789992569,301.0,bianchi_campo,2022
2022-11-05,6.197639500840069,9.533979579380627,308.0,bianchi_campo,2022
2022-11-12,36.55922308958637,8.762416912260505,315.0,bianchi_campo,2022
2022-11-19,85.14673024905406,5.892154312133812,322.0,bianchi_campo,2022
2022-11-26,16.926239207105453,4.027858625139515,329.0,bianchi_campo,2022
2022-12-03,53.9116576311649,6.882698040916807,336.0,bianchi_campo,2022
2022-12-10,62.2165278385296,4.023805236816429,343.0,bianchi_campo,2022
2022-12-17,2.0840162530539885,6.378469358171742,350.0,bianchi_campo,2022
2022-12-24,1.511992034238574,9.001331492832776,357.0,bianchi_campo,2022
2022-12-25,1.3960341781285024,8.850870280795675,,bianchi_campo,2022
2022-12-26,1.2042760847066347,8.685430145263695,,bianchi_campo,2022
2022-12-27,0.9689390657854348,8.341786162058554,,bianchi_campo,2022
2022-12-28,0.8077949285052455,8.140127860175255,,bianchi_campo,2022
